LABNR,GR,C14AGE,C14STD,C13,COUNTRY,SITE,MAR,MATERIAL,SPECIES,PHASE,LOCUS,SAMPLE,CULTURE,PERIOD,calBC68,calBC95,REGION,LATITUDE,LONGITUDE,INCONGR,NOTICE,REFERENCE,ID
B-108249,---,"8840","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level E, depth 765-770cm","level E, depth 765-770cm",---,PPN,ACN, 7990 +- 160,8310 - 7670,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5700"
OxA-2101,---,"8850","100",0,Iran,Ganj Dareh,"-",seeds,"hordeum, charred",level D,level D,---,---,PN, 7980 +- 190,8360 - 7600,07.01 N-Zagros,34.42,47.57,---,---,Housley 1994,"1086"
B-108246,---,"8870","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level E, depth 580-585cm","level E, depth 580-585cm",---,PPN,ACN, 8030 +- 140,8310 - 7750,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5697"
P-1486,---,"8888","98",0,Iran,Ganj Dareh,"-",charcoal,---,"level B, phase 4, -2,10 � -2,40 m","level B, phase 4, -2,10 � -2,40 m",---,PPN,ACN, 8010 +- 180,8370 - 7650,07.01 N-Zagros,34.42,47.57,---,Banadora: contemporain ou un peu plus ancien que Gak-994,"Lawn 1970, Hole 1987","1090"
B-108248,---,"8900","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level E, depth 700-710cm","level E, depth 700-710cm",---,PPN,ACN, 8070 +- 120,8310 - 7830,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5699"
GAK-994,---,"8910","170",0,Iran,Ganj Dareh,"-",n.d.,---,"Gd2, � 1 m au-dessus de GD1; level B-C (oder E?)","Gd2, � 1 m au-dessus de GD1; level B-C (oder E?)",---,PPN,ACN, 8020 +- 230,8480 - 7560,07.01 N-Zagros,34.42,47.57,---,LAB GaK- zu GAK-,"Kigoshi 1967, Hole 1987, Banadora","1083"
B-108243,---,"8920","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level C, depth 460-480cm","level C, depth 460-480cm",---,PPN,ACN, 8090 +- 110,8310 - 7870,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5694"
B-108239,---,"8930","60",0,Iran,Ganj Dareh,"-",bone,collagen,"level B, depth 165-180cm","level B, depth 165-180cm",---,PPN,ACN, 8100 +- 120,8340 - 7860,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5690"
B-108245,---,"8940","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level D, depth 580-600cm","level D, depth 580-600cm",---,PPN,ACN, 8110 +- 110,8330 - 7890,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5696"
B-108242,---,"8940","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level B, depth 280-300cm","level B, depth 280-300cm",---,PPN,ACN, 8110 +- 110,8330 - 7890,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5693"
SI-4741,---,"8950","70",0,Iran,Ganj Dareh,"-",n.d.,---,level D,level D,---,PPN,ACN, 8110 +- 130,8370 - 7850,07.01 N-Zagros,34.42,47.57,---,---,"Hole 1987, Voigt and Dyson 1992","1100"
P-1484,---,"8968","100",0,Iran,Ganj Dareh,"-",charcoal,---,"level D, base de la phase 1, -6,20 m","level D, base de la phase 1, -6,20 m",---,PPN,ACN, 8100 +- 160,8420 - 7780,07.01 N-Zagros,34.42,47.57,---,"Banadora: la premi�r phase � architecture, surmonte le niv. E sansarchitecture, plus bas que P-1485, pre-trairement � la soude (NaOH)","Lawn 1970, Hole 1987","1088"
OxA-2100,---,"9010","110",0,Iran,Ganj Dareh,"-",seeds,"Hordeum, charred",level C-D,level C-D,---,---,ACN, 8150 +- 170,8490 - 7810,07.01 N-Zagros,34.42,47.57,---,---,Housley 1994,"1085"
P-1485,---,"9239","196",0,Iran,Ganj Dareh,"-",charcoal,---,"level C, 2�me phase, -4,50 m","level C, 2�me phase, -4,50 m",---,PPN,ACN, 8530 +- 260,9050 - 8010,07.01 N-Zagros,34.42,47.57,---,"Banadora: echantillon trop petit, date mois s�re, plus jeune ue Gak-807, plus ancien que Gak-994","Lawn 1970, Hole 1987","1089"
